	725 0x8000294 irq 0x0-> 0x8000096 uart_stm32_print (from 0x8000220 main)
		782 0x80000e6 irq 0x0-> 0x8000000 HAL_BE_Out (from 0x8000096 uart_stm32_print)
	785 0x800029c irq 0x0-> 0x8000184 test_uart_performance (from 0x8000220 main)
		790 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			793 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		797 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			800 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		804 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			807 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		811 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			814 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		818 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			821 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		825 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			828 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		832 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			835 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		839 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			842 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		846 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			849 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		853 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			856 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		860 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			863 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		867 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			870 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		874 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			877 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		881 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			884 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		888 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			891 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		895 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			898 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		902 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			905 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		909 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			912 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		916 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			919 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
		923 0x80001a8 irq 0x0-> 0x800003a uart_stm32_poll_out (from 0x8000184 test_uart_performance)
			926 0x800005a irq 0x0-> 0x8000000 HAL_BE_Out (from 0x800003a uart_stm32_poll_out)
