					14042 0x6000f7c2 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14045 0x6000f7d6 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14048 0x6000f7ea irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14052 0x6000f7fe irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14055 0x6000f812 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14058 0x6000f826 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14061 0x6000f83a irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14064 0x6000f84e irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14067 0x6000f862 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14070 0x6000f876 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14073 0x6000f88a irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14076 0x6000f89e irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
					14079 0x6000f8b4 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f3e8 BOARD_InitPins)
				14083 0x60010bee irq 0x0-> 0x6000f938 BOARD_InitSemcPins (from 0x60010bdc rt_hw_board_init)
					14084 0x6000f942 irq 0x0-> 0x6000f368 CLOCK_EnableClock (from 0x6000f938 BOARD_InitSemcPins)
						14085 0x6000f37a irq 0x0-> 0x6000f2f8 CLOCK_ControlGate (from 0x6000f368 CLOCK_EnableClock)
							14087 0x6000f34a irq 0x0-> 0x6000f2a8 _SDK_AtomicLocalClearAndSet4Byte (from 0x6000f2f8 CLOCK_ControlGate)
					14092 0x6000f956 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14095 0x6000f96a irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14098 0x6000f97e irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14101 0x6000f992 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14104 0x6000f9a6 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14107 0x6000f9ba irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14110 0x6000f9ce irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14113 0x6000f9e2 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14116 0x6000f9f6 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14119 0x6000fa0a irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14122 0x6000fa1e irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14125 0x6000fa32 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14128 0x6000fa46 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14131 0x6000fa5a irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14134 0x6000fa6e irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14137 0x6000fa82 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14140 0x6000fa96 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14143 0x6000faaa irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14146 0x6000fabe irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14149 0x6000fad2 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14152 0x6000fae6 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14155 0x6000fafa irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14158 0x6000fb0e irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14161 0x6000fb22 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14164 0x6000fb36 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14167 0x6000fb4a irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14170 0x6000fb5e irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14173 0x6000fb72 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14176 0x6000fb86 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14179 0x6000fb9a irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14182 0x6000fbae irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14185 0x6000fbc2 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14188 0x6000fbd6 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14191 0x6000fbea irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14195 0x6000fbfe irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14198 0x6000fc12 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14202 0x6000fd4c irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14205 0x6000fd60 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14208 0x6000fd74 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14211 0x6000fd88 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14214 0x6000fd9c irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14217 0x6000fdb0 irq 0x0-> 0x6000f386 IOMUXC_SetPinMux (from 0x6000f938 BOARD_InitSemcPins)
					14220 0x6000fdc6 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14223 0x6000fddc irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14226 0x6000fdf2 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14229 0x6000fe08 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14232 0x6000fe1e irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14235 0x6000fe34 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14238 0x6000fe4a irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14241 0x6000fe60 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14244 0x6000fe76 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14247 0x6000fe8c irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
					14250 0x6000fea2 irq 0x0-> 0x6000f3c0 IOMUXC_SetPinConfig (from 0x6000f938 BOARD_InitSemcPins)
